                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9407,                 1.9832,                 1.8328,                0.79327,                0.33333,                0.47866,                0.19146,                 2.5698,                 2.9562,                 2.7582,                      0,                      0,                      0
                      2,                 2.5857,                 2.1559,                 2.1722,                0.73139,                0.33333,                0.52805,                0.26403,                 2.6258,                 2.8818,                  2.797,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                  2.161,                 1.7354,                 1.8914,                0.73492,                0.33333,                0.49104,                0.24112,                 2.6051,                 2.5241,                 2.7714,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                  2.184,                 1.9541,                 2.0495,                0.49516,                0.33333,                0.46604,                0.26545,                 2.4759,                  2.277,                 2.6044,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 2.0487,                 1.5771,                 1.8979,                0.64318,                0.33333,                0.42436,                 0.2897,                 2.2004,                 1.7962,                 2.3567,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 1.8776,                 1.1176,                 1.9763,                0.77684,                0.33333,                0.40552,                0.27785,                 1.9395,                 1.4417,                 2.1193,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 1.9253,                 1.1763,                 1.8098,                0.70966,                0.33333,                0.39673,                   0.27,                 1.8862,                 1.5155,                 2.2108,             0.00010574,             0.00010574,             0.00010574
                      8,                 1.7502,                 1.3168,                 1.8054,                0.24826,                0.33333,                0.24695,                0.14072,                 2.4258,                 1.6458,                 2.7318,              0.0001206,              0.0001206,              0.0001206
                      9,                 1.5453,                   1.26,                 1.5696,                 0.2597,                0.66667,                0.43564,                0.14263,                 3.2537,                 1.9791,                 3.2803,             0.00013466,             0.00013466,             0.00013466
                     10,                 1.4522,                0.88183,                 1.6339,                0.37253,                0.33333,                0.28373,                0.08254,                 4.0412,                 2.3108,                 4.0094,             0.00014792,             0.00014792,             0.00014792
                     11,                 1.3829,                 1.0032,                 1.4641,                0.28482,                0.33333,                0.14526,                0.02466,                 4.2936,                 3.1557,                 4.1459,              0.0001604,              0.0001604,              0.0001604
                     12,                 1.3377,                 1.0449,                 1.5255,                0.22407,                0.33333,                0.09146,                0.00915,                 4.0432,                 3.4764,                 3.6619,             0.00017208,             0.00017208,             0.00017208
                     13,                 1.2755,                 0.9624,                 1.3942,                0.19175,                0.33333,                0.09112,                0.00911,                  4.015,                 3.8808,                 3.5499,             0.00018298,             0.00018298,             0.00018298
                     14,                 1.1672,                0.88223,                  1.392,                0.19175,                0.33333,                0.09112,                0.00911,                 3.6972,                 4.1515,                 3.2225,             0.00019308,             0.00019308,             0.00019308
                     15,                 1.0949,                0.86883,                 1.2784,                0.01818,                0.33333,                0.01273,                0.00255,                 3.3988,                 3.4623,                 3.1239,             0.00020238,             0.00020238,             0.00020238
                     16,                  1.167,                 1.0864,                  1.319,                0.08224,                0.66667,                0.08914,                 0.0174,                 3.2979,                 2.6948,                 3.0659,              0.0002109,              0.0002109,              0.0002109
                     17,                 1.4415,                 1.2024,                 1.4805,                0.09036,                0.66667,                0.10741,                0.04195,                 3.0533,                 2.5627,                 2.9454,             0.00021862,             0.00021862,             0.00021862
                     18,                 1.0551,                0.73374,                 1.2295,                0.09036,                0.66667,                0.10741,                0.04195,                 3.0533,                 2.5627,                 2.9454,             0.00022556,             0.00022556,             0.00022556
                     19,                 1.2001,                0.95448,                 1.3289,                0.13109,                0.33333,                0.11771,                0.05896,                 2.2763,                 2.4487,                 2.3829,              0.0002317,              0.0002317,              0.0002317
                     20,                0.90957,                0.70423,                 1.1655,                0.13109,                0.33333,                0.11771,                0.05896,                 2.2763,                 2.4487,                 2.3829,             0.00023704,             0.00023704,             0.00023704
                     21,                 1.0216,                0.78651,                 1.2402,                 0.5612,                0.33333,                0.47021,                0.14584,                 2.1141,                 1.9403,                 2.3696,              0.0002416,              0.0002416,              0.0002416
                     22,                0.82919,                0.73818,                 1.0994,                 0.5612,                0.33333,                0.47021,                0.14584,                 2.1141,                 1.9403,                 2.3696,             0.00024536,             0.00024536,             0.00024536
                     23,                 1.2145,                 0.9219,                 1.3664,                0.35476,                0.66667,                  0.557,                0.30095,                 1.8761,                 1.7751,                 2.1237,             0.00024834,             0.00024834,             0.00024834
                     24,                0.83961,                0.95547,                 1.2024,                0.35476,                0.66667,                  0.557,                0.30095,                 1.8761,                 1.7751,                 2.1237,             0.00025052,             0.00025052,             0.00025052
                     25,                 1.1266,                0.81648,                 1.3131,                0.76742,                0.33333,                  0.544,                0.28716,                 2.2922,                 1.8519,                 2.4215,              0.0002519,              0.0002519,              0.0002519
                     26,                0.92436,                0.64716,                  1.186,                0.76742,                0.33333,                  0.544,                0.28716,                 2.2922,                 1.8519,                 2.4215,              0.0002525,              0.0002525,              0.0002525
                     27,                 1.0225,                0.78513,                 1.1812,                0.87099,                0.33333,                 0.5825,                0.29962,                 2.4092,                 1.9816,                 2.5038,              0.0002523,              0.0002523,              0.0002523
                     28,                0.98336,                0.75899,                 1.1855,                0.87099,                0.33333,                 0.5825,                0.29962,                 2.4092,                 1.9816,                 2.5038,             0.00025132,             0.00025132,             0.00025132
                     29,                 0.7585,                0.61232,                 1.1894,                0.47606,                0.66667,                  0.665,                0.31687,                 2.5971,                 2.1002,                  2.717,             0.00024954,             0.00024954,             0.00024954
                     30,                0.87756,                0.61555,                  1.205,                0.47606,                0.66667,                  0.665,                0.31687,                 2.5971,                 2.1002,                  2.717,             0.00024696,             0.00024696,             0.00024696
                     31,                 0.8669,                0.73766,                  1.187,                0.41636,                0.49939,                  0.731,                0.21597,                 2.5346,                 2.1934,                 2.7987,              0.0002436,              0.0002436,              0.0002436
                     32,                0.77729,                0.54161,                 1.0343,                0.41636,                0.49939,                  0.731,                0.21597,                 2.5346,                 2.1934,                 2.7987,             0.00023944,             0.00023944,             0.00023944
                     33,                 0.9447,                 0.6956,                 1.1256,                0.51751,                0.33333,                  0.566,                0.09272,                 2.7459,                 2.1023,                  2.868,              0.0002345,              0.0002345,              0.0002345
                     34,                0.76737,                0.65706,                 1.0724,                0.51751,                0.33333,                  0.566,                0.09272,                 2.7459,                 2.1023,                  2.868,             0.00022876,             0.00022876,             0.00022876
                     35,                0.68784,                0.59512,                 1.0164,                0.63977,                0.61287,                  0.665,                 0.1581,                 3.0662,                    1.8,                 3.1105,             0.00022222,             0.00022222,             0.00022222
                     36,                0.75182,                0.64716,                 1.1427,                0.63977,                0.61287,                  0.665,                 0.1581,                 3.0662,                    1.8,                 3.1105,              0.0002149,              0.0002149,              0.0002149
                     37,                0.98012,                0.77977,                 1.2345,                0.66614,                0.66561,                0.69643,                0.23113,                 2.9798,                 1.5622,                 3.0889,             0.00020678,             0.00020678,             0.00020678
                     38,                0.92183,                0.87058,                  1.125,                0.66614,                0.66561,                0.69643,                0.23113,                 2.9798,                 1.5622,                 3.0889,             0.00019788,             0.00019788,             0.00019788
                     39,                0.80715,                0.65237,                 1.2653,                0.74048,                0.96193,                   0.83,                0.23684,                 3.0111,                 1.3204,                 3.2117,             0.00018818,             0.00018818,             0.00018818
                     40,                0.80039,                 0.6117,                 1.0214,                0.74048,                0.96193,                   0.83,                0.23684,                 3.0111,                 1.3204,                 3.2117,             0.00017768,             0.00017768,             0.00017768
                     41,                 0.6709,                0.50711,                 1.0034,                0.65232,                0.66667,                0.57904,                0.18725,                 3.2827,                 1.0706,                 3.6477,              0.0001664,              0.0001664,              0.0001664
                     42,                0.63143,                0.53252,                0.99544,                0.65232,                0.66667,                0.57904,                0.18725,                 3.2827,                 1.0706,                 3.6477,             0.00015432,             0.00015432,             0.00015432
                     43,                0.63241,                0.51253,                 1.0742,                0.65048,                0.66667,                0.57604,                0.18605,                  3.318,                 1.0386,                  3.778,             0.00014146,             0.00014146,             0.00014146
                     44,                0.57572,                0.42512,                 0.9966,                0.65048,                0.66667,                0.57604,                0.18605,                  3.318,                 1.0386,                  3.778,              0.0001278,              0.0001278,              0.0001278
                     45,                0.47125,                0.43458,                0.87415,                0.64883,                0.66667,                 0.5748,                0.12808,                 3.4151,                 1.0577,                 3.9389,             0.00011334,             0.00011334,             0.00011334
                     46,                0.48419,                0.44101,                0.91477,                0.64883,                0.66667,                 0.5748,                0.12808,                 3.4151,                 1.0577,                 3.9389,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.46498,                0.38244,                0.97096,                0.64797,                0.66667,                 0.5737,                0.12775,                 3.4405,                 1.0756,                 4.0183,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                0.59042,                 0.4597,                0.95741,                0.64797,                0.66667,                 0.5737,                0.12775,                 3.4405,                 1.0756,                 4.0183,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.65488,                0.50651,                 1.0955,                0.64841,                0.66667,                0.57103,                0.12695,                 3.4298,                 1.0795,                 4.0711,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.58411,                0.46798,                0.89609,                0.64841,                0.66667,                0.57103,                0.12695,                 3.4298,                 1.0795,                 4.0711,             2.9204e-05,             2.9204e-05,             2.9204e-05
